project_id,work_name,category,mp_name,state,district,agency_name,sanction_date,expected_completion,actual_completion,estimated_cost,sanctioned_amount,released_amount,expenditure,progress_percentage,latitude,longitude,status,is_cost_anomaly,is_exp_anomaly,is_progress_anomaly,is_delay,is_duplicate

MPLAD-2024-00000,Construction of Community Hall in District_1,Community Hall,MP_48,Maharashtra,District_1,Agency_9,2023-10-07,2024-04-26,,2498160.48,2610756.14,2260906.91,1739533.45,62.05,12.523841,69.684425,In Progress,False,False,False,False,True
MPLAD-2024-00001,Construction of Roads in District_8,Roads,MP_33,Uttar Pradesh,District_8,Agency_20,2023-10-07,2024-07-20,,4464704.58,9380857.82,8011593.0,4080008.07,47.58,32.140837,74.157834,In Progress,True,False,False,False,False
MPLAD-2024-00002,Construction of Roads in District_14,Roads,MP_22,Uttar Pradesh,District_14,Agency_9,2023-02-17,2023-11-21,2024-04-17,1727299.87,1672614.33,1090747.14,802943.03,47.35,16.445645,85.743734,Delayed,False,False,False,True,False
MPLAD-2024-00003,Construction of Roads in District_18,Roads,MP_8,Karnataka,District_18,Agency_13,2023-07-05,2024-05-27,,1557975.44,2792117.35,1907521.31,1345244.1,50.93,13.79054,82.912799,In Progress,True,False,False,False,False
MPLAD-2024-00004,Construction of Community Hall in District_10,Community Hall,MP_6,Uttar Pradesh,District_10,Agency_28,2023-11-22,2024-08-21,,3369658.28,3216827.56,2585597.29,1491206.67,42.32,35.517681,96.003329,In Progress,False,False,False,False,False
MPLAD-2024-00005,Construction of Community Hall in District_3,Community Hall,MP_39,Tamil Nadu,District_3,Agency_21,2023-07-14,2024-03-19,,4233589.39,4150870.89,2278147.61,1840526.53,43.81,11.539109,82.36013,In Progress,False,False,False,False,False
MPLAD-2024-00006,Construction of Sanitation in District_11,Sanitation,MP_4,Uttar Pradesh,District_11,Agency_8,2023-02-03,2023-09-25,,1137554.08,1184116.49,745271.07,594826.95,48.34,23.081973,83.854598,In Progress,False,False,False,False,False
MPLAD-2024-00007,Construction of Community Hall in District_7,Community Hall,MP_42,Tamil Nadu,District_7,Agency_16,2023-05-16,2023-12-17,,1739417.82,1821098.21,1616345.6,1491522.54,88.37,25.339099,94.734353,In Progress,False,False,False,False,False
MPLAD-2024-00008,Construction of Health in District_14,Health,MP_38,Gujarat,District_14,Agency_13,2023-09-10,2024-03-31,,1353970.01,1312807.0,686090.85,443488.2,33.03,15.869122,92.033388,In Progress,False,False,False,False,False
MPLAD-2024-00009,Construction of Health in District_14,Education,MP_39,Uttar Pradesh,District_14,Agency_3,2023-05-09,2024-03-25,,2427013.31,2373845.82,1831061.32,1031649.07,46.09,15.869222,92.033488,In Progress,False,False,False,False,True
MPLAD-2024-00010,Construction of Community Hall in District_18,Community Hall,MP_49,Maharashtra,District_18,Agency_9,2023-03-22,2024-01-12,2024-05-18,4088979.08,3965784.55,1993842.04,1728576.59,45.39,29.141208,90.36684,Delayed,False,False,False,True,False
MPLAD-2024-00011,Construction of Education in District_4,Education,MP_41,Gujarat,District_4,Agency_10,2023-07-11,2024-02-17,,1296178.61,1277833.24,712947.29,633379.9,50.79,17.596043,69.843192,In Progress,False,False,False,False,False
MPLAD-2024-00012,Construction of Sanitation in District_11,Sanitation,MP_32,Maharashtra,District_11,Agency_1,2023-06-07,2024-02-03,2024-04-23,2243929.29,2204701.66,1906632.81,1500331.0,73.32,21.694233,71.468233,Delayed,False,False,False,True,False
MPLAD-2024-00013,Construction of Water Supply in District_18,Water Supply,MP_9,Maharashtra,District_18,Agency_5,2023-09-28,2024-08-28,,3852979.15,3953459.08,3086222.76,2613830.79,66.03,23.159252,80.39869,In Progress,False,False,False,False,False
MPLAD-2024-00014,Construction of Sanitation in District_10,Sanitation,MP_26,Uttar Pradesh,District_10,Agency_22,2023-03-03,2023-11-01,,1101676.51,1058478.83,545872.98,429266.15,39.05,22.74855,94.319428,In Progress,False,False,False,False,False
